file,tool_use,empty_inputs,per_tool_breakdown
pipeline-out-req_1759909356203_blk6ija0s.json,1,0,update_plan: count=1, empty=0, keys=[plan(1)]
pipeline-out-req_1759909363665_tlb1dm12k.json,1,0,shell: count=1, empty=0, keys=[(llmswitch|switch|provider|tool),command,workdir(1)]
pipeline-out-req_1759909386553_bbaah3g1z.json,1,0,shell: count=1, empty=0, keys=[command(1)]
pipeline-out-req_1759934273252_xfx9iy5zo.json,1,0,shell: count=1, empty=0, keys=[command,workdir(1)]
pipeline-out-req_1759934280594_wh0pt9ova.json,1,0,update_plan: count=1, empty=0, keys=[plan(1)]
pipeline-out-req_1759934289957_r6ydh9dcf.json,1,0,shell: count=1, empty=0, keys=[command,workdir(1)]
pipeline-out-req_1759934302552_rgqefmdyn.json,1,0,shell: count=1, empty=0, keys=[command,workdir(1)]
pipeline-out-req_1759934305600_fu0u5hd8t.json,1,0,shell: count=1, empty=0, keys=[command,workdir(1)]
pipeline-out-req_1759934326701_d4qow1be1.json,1,0,shell: count=1, empty=0, keys=[command,workdir(1)]
pipeline-out-req_1759934329865_7z82ttq9v.json,1,0,update_plan: count=1, empty=0, keys=[plan(1)]
pipeline-out-req_1759934339408_c431pffs2.json,1,0,shell: count=1, empty=0, keys=[command,workdir(1)]
pipeline-out-req_1759934485231_ewgf9dfsv.json,1,0,shell: count=1, empty=0, keys=[command,workdir(1)]
pipeline-out-req_1759934640651_quc0t3wh1.json,1,0,shell: count=1, empty=0, keys=[command,workdir(1)]
pipeline-out-req_1759934725438_ird1p0uub.json,1,0,shell: count=1, empty=0, keys=[command,workdir(1)]
pipeline-out-req_1759934809795_9w1otivoi.json,1,0,shell: count=1, empty=0, keys=[command,workdir(1)]
pipeline-out-req_1759934820660_0vhc1sk89.json,1,0,shell: count=1, empty=0, keys=[command,workdir(1)]
pipeline-out-req_1759934830087_0qkm0zjfu.json,1,0,shell: count=1, empty=0, keys=[command,workdir(1)]
pipeline-out-req_1759934898984_phsh59baa.json,1,0,shell: count=1, empty=0, keys=[command,workdir(1)]
pipeline-out-req_1759934909548_21anhtdu3.json,1,0,shell: count=1, empty=0, keys=[command,workdir(1)]
pipeline-out-req_1759935012135_wudh8wgu8.json,1,0,shell: count=1, empty=0, keys=[command,workdir(1)]
pipeline-out-req_1759935030037_o10d40ukn.json,1,0,shell: count=1, empty=0, keys=[command,workdir(1)]
pipeline-out-req_1759935044434_c44tfzeo0.json,1,0,shell: count=1, empty=0, keys=[command,workdir(1)]
pipeline-out-req_1759935066116_np5b7ob7y.json,1,0,shell: count=1, empty=0, keys=[command,workdir(1)]
pipeline-out-req_1759935090104_j1ijhty8x.json,1,0,shell: count=1, empty=0, keys=[command,workdir(1)]
pipeline-out-req_1759935111122_koxjg62w2.json,1,0,shell: count=1, empty=0, keys=[command,workdir(1)]
pipeline-out-req_1759935144313_d09zg2tsk.json,1,0,shell: count=1, empty=0, keys=[command,workdir(1)]
pipeline-out-req_1759935159554_2rq5kvq81.json,0,0,
